ID_Producto,nombre_limpio,cantidad_base,unidad_base,categoria_base
4252066,LECHE EN POLVO ENTERA NIDO BOLSA 1600 G UNIDAD,"1600,00",g,LACTEOS
4218712,LECHE EN POLVO ENTERA NIDO BOLSA 720 G UNIDAD,"720,00",g,LACTEOS
4514922,LECHE EN POLVO ENTERA NIDO BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4319916,LECHE EN POLVO ENTERA SOPROLE BOLSA 400 G UNIDAD,"400,00",g,LACTEOS
4227008,LECHE EN POLVO ENTERA SOPROLE BOLSA 720 G UNIDAD,"720,00",g,LACTEOS
4255687,LECHE EN POLVO ENTERA SUPER CALO BOLSA 1440 G UNIDAD,"1440,00",g,LACTEOS
4232822,LECHE EN POLVO ENTERA TKF 26% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4208563,LECHE EN POLVO ENTERA TKF 26% MG BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4266023,LECHE EN POLVO FG FOODGROUP SEMIDESCREMADA 12% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4212116,LECHE EN POLVO IDEAL SEMIDESCREMADA BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4213204,LECHE EN POLVO LONCOLECHE SEMIDESCREMADA 1 ANO O MAS BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4524173,LECHE EN POLVO LONCOLECHE SEMIDESCREMADA BOLSA 760 G UNIDAD,"760,00",g,LACTEOS
4200726,LECHE EN POLVO MACROFOOD CHILE SEMIDESCREMADA 12% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4200743,LECHE EN POLVO MACROFOOD CHILE SEMIDESCREMADA 18% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4214972,LECHE EN POLVO MACROFOOD CHILE SEMIDESCREMADA SACHET 12% 20 G CAJA 200 UNIDADES,"20,00",g,LACTEOS
4225274,LECHE EN POLVO NESTLE SEMIDESCREMADA BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4202630,LECHE EN POLVO NESTLE SEMIDESCREMADA PACK 700 G UNIDAD,"700,00",g,LACTEOS
4524989,LECHE EN POLVO NIDO 1+ BOLSA 700 G UNIDAD,"700,00",g,LACTEOS
4525142,LECHE EN POLVO NIDO 1+ TARRO 1350 G UNIDAD,"1350,00",g,LACTEOS
4524972,LECHE EN POLVO NIDO 3+ BOLSA 700 G UNIDAD,"700,00",g,LACTEOS
4525125,LECHE EN POLVO NIDO 3+ TARRO 1350 G UNIDAD,"1350,00",g,LACTEOS
4525108,LECHE EN POLVO NIDO 5+ BOLSA 700 G UNIDAD,"700,00",g,LACTEOS
4525040,LECHE EN POLVO NIDO 5+ TARRO 1350 G UNIDAD,"1350,00",g,LACTEOS
4243532,LECHE EN POLVO NIDO BUEN DIA SEMIDESCREMADA PACK 700 G UNIDAD,"700,00",g,LACTEOS
4226430,LECHE EN POLVO NIDO SEMIDESCREMADA 1 ANO O MAS BOLSA 360 G UNIDAD,"360,00",g,LACTEOS
4515874,LECHE EN POLVO NIDO SEMIDESCREMADA 4 ANOS O MAS BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4242291,LECHE EN POLVO NIDO SEMIDESCREMADA BOLSA 400 G UNIDAD,"400,00",g,LACTEOS
4234505,LECHE EN POLVO NIDO SEMIDESCREMADA BOLSA 850 G UNIDAD,"850,00",g,LACTEOS
4514803,LECHE EN POLVO NIDO SEMIDESCREMADA BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4213935,LECHE EN POLVO NIDO SEMIDESCREMADA PACK 700 G UNIDAD,"700,00",g,LACTEOS
4202477,LECHE EN POLVO NIDO SEMIDESCREMADA TARRO 1600 G UNIDAD,"1600,00",g,LACTEOS
4515177,LECHE EN POLVO SOPROLE SEMIDESCREMADA BOLSA 400 G UNIDAD,"400,00",g,LACTEOS
4197054,LECHE EN POLVO SOPROLE SEMIDESCREMADA PACK 700 G UNIDAD,"700,00",g,LACTEOS
4243447,LECHE EN POLVO SUPER CALO SEMIDESCREMADA BOLSA 850 G UNIDAD,"850,00",g,LACTEOS
4238211,LECHE EN POLVO SVELTY SEMIDESCREMADA BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4226940,LECHE EN POLVO SVELTY SEMIDESCREMADA PACK 700 G UNIDAD,"700,00",g,LACTEOS
4255568,LECHE EN POLVO TKF SEMIDESCREMADA 1 ANO O MAS BOLSA 360 G UNIDAD,"360,00",g,LACTEOS
4232924,LECHE EN POLVO TKF SEMIDESCREMADA 12% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4208529,LECHE EN POLVO TKF SEMIDESCREMADA 18% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4232941,LECHE EN POLVO TKF SEMIDESCREMADA BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4232958,LECHE EN POLVO TKF SEMIDESCREMADA BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4229082,LECHE EVAPORADA BELLA HOLANDESA LATA 400 G UNIDAD,"400,00",g,LACTEOS
4197870,LECHE EVAPORADA CARNATION LATA 400 G UNIDAD,"400,00",g,LACTEOS
4212014,LECHE EVAPORADA IDEAL LATA 400 G UNIDAD,"400,00",g,LACTEOS
4204534,LECHE EVAPORADA NESTLE LATA 400 G UNIDAD,"400,00",g,LACTEOS
4208597,LECHE LIQUIDA DESCREMADA COLUN CAJA 1 L UNIDAD,"1,00",l,LACTEOS
4208308,LECHE LIQUIDA DESCREMADA COLUN CAJA 200 CC UNIDAD,"200,00",cc,LACTEOS
